ALL POSSIBLE DUNGEON OUTCOMES FOR 100 GENERATION POINTS
============================================================

Algorithm rules:
- Reserve 30 points for the final boss (always placed last)
- With the remaining 70 points, repeatedly pick a room type uniformly at random
  from all types whose cost fits the current remaining budget.
  (SMALL=10, MEDIUM=15, LARGE=20, BOSS=30)
- Boss type is allowed during the random phase → multiple bosses possible
- Stop when < 10 points remain
- Always append one final BOSS room

Total distinct possible sequences: 182

Length distribution:
  4 rooms:  12 sequences
  5 rooms:  62 sequences
  6 rooms:  80 sequences
  7 rooms:  27 sequences
  8 rooms:   1 sequence

Boss count distribution:
  1 boss (final only): 129 sequences
  2 bosses:             50 sequences
  3 bosses:              3 sequences

Points actually spent:
  - 100 pts: many sequences (exact spend)
  -  95 pts: many sequences (5 pts left over, can't buy another room)

============================================================
COMPLETE LIST (sorted by points spent desc, then length, then sequence)
============================================================

  1. ['BOSS', 'BOSS', 'SMALL', 'BOSS']   | used 100 pts | bosses: 3
  2. ['BOSS', 'LARGE', 'LARGE', 'BOSS']   | used 100 pts | bosses: 2
  3. ['BOSS', 'SMALL', 'BOSS', 'BOSS']   | used 100 pts | bosses: 3
  4. ['LARGE', 'BOSS', 'LARGE', 'BOSS']   | used 100 pts | bosses: 2
  5. ['LARGE', 'LARGE', 'BOSS', 'BOSS']   | used 100 pts | bosses: 2
  6. ['SMALL', 'BOSS', 'BOSS', 'BOSS']   | used 100 pts | bosses: 3
  7. ['BOSS', 'LARGE', 'SMALL', 'SMALL', 'BOSS']   | used 100 pts | bosses: 2
  8. ['BOSS', 'MEDIUM', 'MEDIUM', 'SMALL', 'BOSS']   | used 100 pts | bosses: 2
  9. ['BOSS', 'MEDIUM', 'SMALL', 'MEDIUM', 'BOSS']   | used 100 pts | bosses: 2
 10. ['BOSS', 'SMALL', 'LARGE', 'SMALL', 'BOSS']   | used 100 pts | bosses: 2
 11. ['BOSS', 'SMALL', 'MEDIUM', 'MEDIUM', 'BOSS']   | used 100 pts | bosses: 2
 12. ['BOSS', 'SMALL', 'SMALL', 'LARGE', 'BOSS']   | used 100 pts | bosses: 2
 13. ['LARGE', 'BOSS', 'SMALL', 'SMALL', 'BOSS']   | used 100 pts | bosses: 2
 14. ['LARGE', 'LARGE', 'LARGE', 'SMALL', 'BOSS']   | used 100 pts | bosses: 1
 15. ['LARGE', 'LARGE', 'MEDIUM', 'MEDIUM', 'BOSS']   | used 100 pts | bosses: 1
 16. ['LARGE', 'LARGE', 'SMALL', 'LARGE', 'BOSS']   | used 100 pts | bosses: 1
 17. ['LARGE', 'MEDIUM', 'LARGE', 'MEDIUM', 'BOSS']   | used 100 pts | bosses: 1
 18. ['LARGE', 'MEDIUM', 'MEDIUM', 'LARGE', 'BOSS']   | used 100 pts | bosses: 1
 19. ['LARGE', 'SMALL', 'BOSS', 'SMALL', 'BOSS']   | used 100 pts | bosses: 2
 20. ['LARGE', 'SMALL', 'LARGE', 'LARGE', 'BOSS']   | used 100 pts | bosses: 1
 21. ['LARGE', 'SMALL', 'SMALL', 'BOSS', 'BOSS']   | used 100 pts | bosses: 2
 22. ['MEDIUM', 'BOSS', 'MEDIUM', 'SMALL', 'BOSS']   | used 100 pts | bosses: 2
 23. ['MEDIUM', 'BOSS', 'SMALL', 'MEDIUM', 'BOSS']   | used 100 pts | bosses: 2
 24. ['MEDIUM', 'LARGE', 'LARGE', 'MEDIUM', 'BOSS']   | used 100 pts | bosses: 1
 25. ['MEDIUM', 'LARGE', 'MEDIUM', 'LARGE', 'BOSS']   | used 100 pts | bosses: 1
 26. ['MEDIUM', 'MEDIUM', 'BOSS', 'SMALL', 'BOSS']   | used 100 pts | bosses: 2
 27. ['MEDIUM', 'MEDIUM', 'LARGE', 'LARGE', 'BOSS']   | used 100 pts | bosses: 1
 28. ['MEDIUM', 'MEDIUM', 'SMALL', 'BOSS', 'BOSS']   | used 100 pts | bosses: 2
 29. ['MEDIUM', 'SMALL', 'BOSS', 'MEDIUM', 'BOSS']   | used 100 pts | bosses: 2
 30. ['MEDIUM', 'SMALL', 'MEDIUM', 'BOSS', 'BOSS']   | used 100 pts | bosses: 2
 31. ['SMALL', 'BOSS', 'LARGE', 'SMALL', 'BOSS']   | used 100 pts | bosses: 2
 32. ['SMALL', 'BOSS', 'MEDIUM', 'MEDIUM', 'BOSS']   | used 100 pts | bosses: 2
 33. ['SMALL', 'BOSS', 'SMALL', 'LARGE', 'BOSS']   | used 100 pts | bosses: 2
 34. ['SMALL', 'LARGE', 'BOSS', 'SMALL', 'BOSS']   | used 100 pts | bosses: 2
 35. ['SMALL', 'LARGE', 'LARGE', 'LARGE', 'BOSS']   | used 100 pts | bosses: 1
 36. ['SMALL', 'LARGE', 'SMALL', 'BOSS', 'BOSS']   | used 100 pts | bosses: 2
 37. ['SMALL', 'MEDIUM', 'BOSS', 'MEDIUM', 'BOSS']   | used 100 pts | bosses: 2
 38. ['SMALL', 'MEDIUM', 'MEDIUM', 'BOSS', 'BOSS']   | used 100 pts | bosses: 2
 39. ['SMALL', 'SMALL', 'BOSS', 'LARGE', 'BOSS']   | used 100 pts | bosses: 2
 40. ['SMALL', 'SMALL', 'LARGE', 'BOSS', 'BOSS']   | used 100 pts | bosses: 2
 41. ['BOSS', 'SMALL', 'SMALL', 'SMALL', 'SMALL', 'BOSS']   | used 100 pts | bosses: 2
 42. ['LARGE', 'LARGE', 'SMALL', 'SMALL', 'SMALL', 'BOSS']   | used 100 pts | bosses: 1
 43. ['LARGE', 'MEDIUM', 'MEDIUM', 'SMALL', 'SMALL', 'BOSS']   | used 100 pts | bosses: 1
 44. ['LARGE', 'MEDIUM', 'SMALL', 'MEDIUM', 'SMALL', 'BOSS']   | used 100 pts | bosses: 1
 45. ['LARGE', 'MEDIUM', 'SMALL', 'SMALL', 'MEDIUM', 'BOSS']   | used 100 pts | bosses: 1
 46. ['LARGE', 'SMALL', 'LARGE', 'SMALL', 'SMALL', 'BOSS']   | used 100 pts | bosses: 1
